N,Dumb,AVX2
0,0,0
5,5712613774,916070602
10,11436408222,1831856004
15,17167290758,2747407724
20,22921776126,3742002716
25,28748568058,4579368188
30,34310435610,5495609006
35,40007765992,6410541052
40,45725451316,7327369636
45,51406774490,8236685164
50,57162699430,9155219770
55,62878191766,10064748526
60,68639280536,10991297480
65,74338362704,11900512108
70,80000038952,12811008388
75,85733522186,13743307220
80,91601711478,14655044368
85,97342045252,15547264192
90,103087095254,16498824974
95,108696433986,17387673520
100,114557194550,18301728090
