N,Dumb,AVX2
0,0,0
5,2512258552,338501404
10,5015221684,679243658
15,7528074366,1017388932
20,10032533898,1356003796
25,12544410574,1697712214
30,15031091344,2037581816
35,17568039438,2376893526
40,20062107478,2716952464
45,22546840638,3056277046
50,25050173480,3395720006
55,27564767420,3735877632
60,30153712726,4066570896
65,32603878374,4399381034
70,35112134570,4745470310
75,37607666348,5094119992
80,40107194128,5433617082
85,42684503088,5771304134
90,45267950466,6112125716
95,47673361468,6452166612
100,50271590454,6786851910
